GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US120110201032,120110201032,"Block Group 2, Census Tract 201.03, Broward County, Florida",31063,6538
1500000US120110201033,120110201033,"Block Group 3, Census Tract 201.03, Broward County, Florida",47602,11118
1500000US120110201041,120110201041,"Block Group 1, Census Tract 201.04, Broward County, Florida",37030,8702
1500000US120110202041,120110202041,"Block Group 1, Census Tract 202.04, Broward County, Florida",78167,27869
1500000US120110202042,120110202042,"Block Group 2, Census Tract 202.04, Broward County, Florida",46563,8931
1500000US120110202043,120110202043,"Block Group 3, Census Tract 202.04, Broward County, Florida",19287,8587
1500000US120110202051,120110202051,"Block Group 1, Census Tract 202.05, Broward County, Florida",55784,8688
1500000US120110202052,120110202052,"Block Group 2, Census Tract 202.05, Broward County, Florida",62039,15456
1500000US120110202061,120110202061,"Block Group 1, Census Tract 202.06, Broward County, Florida",51750,22361
1500000US120110202062,120110202062,"Block Group 2, Census Tract 202.06, Broward County, Florida",38310,6207
1500000US120110202071,120110202071,"Block Group 1, Census Tract 202.07, Broward County, Florida",27339,8570
1500000US120110202072,120110202072,"Block Group 2, Census Tract 202.07, Broward County, Florida",70493,26053
1500000US120110202091,120110202091,"Block Group 1, Census Tract 202.09, Broward County, Florida",51118,13454
1500000US120110202092,120110202092,"Block Group 2, Census Tract 202.09, Broward County, Florida",30921,19997
1500000US120110202101,120110202101,"Block Group 1, Census Tract 202.10, Broward County, Florida",51364,33913
1500000US120110202102,120110202102,"Block Group 2, Census Tract 202.10, Broward County, Florida",47898,23919
1500000US120110202103,120110202103,"Block Group 3, Census Tract 202.10, Broward County, Florida",46000,34003
1500000US120110202104,120110202104,"Block Group 4, Census Tract 202.10, Broward County, Florida",42566,13565
1500000US120110202111,120110202111,"Block Group 1, Census Tract 202.11, Broward County, Florida",36136,6552
1500000US120110202121,120110202121,"Block Group 1, Census Tract 202.12, Broward County, Florida",73636,36249
1500000US120110202122,120110202122,"Block Group 2, Census Tract 202.12, Broward County, Florida",22047,4404
1500000US120110203021,120110203021,"Block Group 1, Census Tract 203.02, Broward County, Florida",40322,23286
1500000US120110203022,120110203022,"Block Group 2, Census Tract 203.02, Broward County, Florida",34977,6292
1500000US120110203023,120110203023,"Block Group 3, Census Tract 203.02, Broward County, Florida",94107,60640
1500000US120110203024,120110203024,"Block Group 4, Census Tract 203.02, Broward County, Florida",85304,20710
1500000US120110203081,120110203081,"Block Group 1, Census Tract 203.08, Broward County, Florida",46605,16212
1500000US120110203082,120110203082,"Block Group 2, Census Tract 203.08, Broward County, Florida",50430,12356
1500000US120110203091,120110203091,"Block Group 1, Census Tract 203.09, Broward County, Florida",86486,20857
1500000US120110203092,120110203092,"Block Group 2, Census Tract 203.09, Broward County, Florida",72809,7013
1500000US120110203111,120110203111,"Block Group 1, Census Tract 203.11, Broward County, Florida",49632,10758
1500000US120110203112,120110203112,"Block Group 2, Census Tract 203.11, Broward County, Florida",48333,15524
1500000US120110203121,120110203121,"Block Group 1, Census Tract 203.12, Broward County, Florida",67250,15793
1500000US120110203122,120110203122,"Block Group 2, Census Tract 203.12, Broward County, Florida",68906,11683
1500000US120110203131,120110203131,"Block Group 1, Census Tract 203.13, Broward County, Florida",37388,12030
1500000US120110203132,120110203132,"Block Group 2, Census Tract 203.13, Broward County, Florida",51208,12398
1500000US120110203141,120110203141,"Block Group 1, Census Tract 203.14, Broward County, Florida",46209,7772
1500000US120110203142,120110203142,"Block Group 2, Census Tract 203.14, Broward County, Florida",17212,8657
1500000US120110203143,120110203143,"Block Group 3, Census Tract 203.14, Broward County, Florida",82644,23899
1500000US120110203151,120110203151,"Block Group 1, Census Tract 203.15, Broward County, Florida",67727,12611
1500000US120110203152,120110203152,"Block Group 2, Census Tract 203.15, Broward County, Florida",68063,25271
1500000US120110203161,120110203161,"Block Group 1, Census Tract 203.16, Broward County, Florida",44000,23495
1500000US120110203162,120110203162,"Block Group 2, Census Tract 203.16, Broward County, Florida",66083,19393
1500000US120110203172,120110203172,"Block Group 2, Census Tract 203.17, Broward County, Florida",66362,4757
1500000US120110203181,120110203181,"Block Group 1, Census Tract 203.18, Broward County, Florida",96719,26115
1500000US120110203182,120110203182,"Block Group 2, Census Tract 203.18, Broward County, Florida",84205,25512
1500000US120110203183,120110203183,"Block Group 3, Census Tract 203.18, Broward County, Florida",107179,24851
1500000US120110203191,120110203191,"Block Group 1, Census Tract 203.19, Broward County, Florida",115046,31810
1500000US120110203192,120110203192,"Block Group 2, Census Tract 203.19, Broward County, Florida",78214,13887
1500000US120110203193,120110203193,"Block Group 3, Census Tract 203.19, Broward County, Florida",77955,45670
1500000US120110203201,120110203201,"Block Group 1, Census Tract 203.20, Broward County, Florida",81613,27114
1500000US120110203202,120110203202,"Block Group 2, Census Tract 203.20, Broward County, Florida",39295,9364
1500000US120110203203,120110203203,"Block Group 3, Census Tract 203.20, Broward County, Florida",81071,31296
1500000US120110203211,120110203211,"Block Group 1, Census Tract 203.21, Broward County, Florida",105000,22499
1500000US120110203221,120110203221,"Block Group 1, Census Tract 203.22, Broward County, Florida",80875,8983
